,,,macro_ap,macro_ap,macro_auc,macro_auc,accuracy,accuracy
,,,mean,std,mean,std,mean,std
k,train_condition,test_snr,,,,,,
2,C,-5,0.5175,0.0632,0.8249,0.0305,0.4358,0.0701
2,C,0,0.6843,0.0649,0.893,0.0263,0.5679,0.0835
2,C,5,0.7789,0.0523,0.9289,0.021,0.6888,0.0535
2,C,10,0.8399,0.0354,0.9498,0.0114,0.759,0.0307
2,M,-5,0.5735,0.0442,0.8392,0.0243,0.5299,0.0115
2,M,0,0.6759,0.0507,0.887,0.0199,0.6291,0.0243
2,M,5,0.7464,0.0571,0.9179,0.0182,0.6918,0.0309
2,M,10,0.7977,0.0579,0.9354,0.0179,0.7246,0.0445
2,S,-5,0.5517,0.0309,0.8273,0.0104,0.494,0.019
2,S,0,0.6975,0.0486,0.8898,0.015,0.6157,0.0335
2,S,5,0.7814,0.0581,0.9247,0.0179,0.7052,0.0439
2,S,10,0.828,0.0616,0.9442,0.0172,0.7507,0.06
4,C,-5,0.5071,0.0149,0.831,0.0105,0.4157,0.0197
4,C,0,0.6948,0.0154,0.9035,0.0044,0.5933,0.0124
4,C,5,0.806,0.0086,0.9404,0.0029,0.7112,0.0131
4,C,10,0.8779,0.0077,0.963,0.0023,0.7963,0.0184
4,M,-5,0.6369,0.0625,0.8785,0.0185,0.6075,0.0325
4,M,0,0.7456,0.0617,0.9193,0.0172,0.6993,0.0276
4,M,5,0.8213,0.05,0.944,0.0171,0.7567,0.0308
4,M,10,0.8628,0.0435,0.9587,0.0172,0.8045,0.0442
4,S,-5,0.5947,0.0656,0.8603,0.0275,0.5343,0.0727
4,S,0,0.7511,0.0668,0.9192,0.0236,0.6761,0.0637
4,S,5,0.8355,0.055,0.9494,0.0155,0.7709,0.0502
4,S,10,0.8805,0.0481,0.964,0.0138,0.8216,0.053
8,C,-5,0.5191,0.0135,0.8306,0.0124,0.4201,0.0174
8,C,0,0.6865,0.0372,0.8978,0.0098,0.5709,0.03
8,C,5,0.7841,0.0346,0.9324,0.0102,0.6903,0.0277
8,C,10,0.8618,0.0267,0.9581,0.0083,0.7619,0.0252
8,M,-5,0.6806,0.0242,0.8947,0.0119,0.641,0.0031
8,M,0,0.8164,0.0302,0.9419,0.0074,0.744,0.0281
8,M,5,0.8892,0.0274,0.9667,0.0076,0.8224,0.0146
8,M,10,0.9269,0.0244,0.979,0.0083,0.8604,0.0107
8,S,-5,0.6206,0.0281,0.8691,0.0157,0.5567,0.0268
8,S,0,0.7803,0.0239,0.9317,0.006,0.7164,0.028
8,S,5,0.8742,0.0211,0.9642,0.0028,0.8097,0.0283
8,S,10,0.9154,0.0177,0.9773,0.0025,0.85,0.0155
16,C,-5,0.5164,0.0133,0.8267,0.0115,0.397,0.0335
16,C,0,0.6929,0.0108,0.9008,0.0093,0.5552,0.032
16,C,5,0.7985,0.0128,0.9406,0.0063,0.6963,0.0131
16,C,10,0.8799,0.0171,0.966,0.0033,0.7746,0.005
16,M,-5,0.7285,0.0237,0.9178,0.0082,0.6828,0.0181
16,M,0,0.8571,0.0125,0.9598,0.0041,0.7858,0.0157
16,M,5,0.9224,0.014,0.9791,0.0064,0.8403,0.0328
16,M,10,0.9468,0.0151,0.986,0.006,0.8903,0.0168
16,S,-5,0.6523,0.0223,0.8826,0.0111,0.594,0.0425
16,S,0,0.8155,0.0106,0.9418,0.007,0.7485,0.0265
16,S,5,0.895,0.0193,0.9688,0.0094,0.8321,0.0192
16,S,10,0.9329,0.017,0.9808,0.0065,0.8687,0.0244
