seed,k,train_condition,train_snr,test_snr,class_idx,class_name,ap,auc,precision,recall,f1
0,2,C,,-5,0,BottlenoseDolphin,0.5815983291576847,0.9217273954116059,0.30645161290322087,0.9047619047618618,0.45783132530081583
0,2,C,,-5,1,BowheadWhale,0.42879852504859217,0.7954521963824288,0.4999999999999583,0.13953488372092698,0.2181818181814691
0,2,C,,-5,2,ClymeneDolphin,0.6122748238178657,0.8616020671834625,0.6896551724137694,0.4651162790697566,0.5555555555550591
0,2,C,,-5,3,Frasherdolphin,0.4777947356184155,0.8842690677966101,0.34666666666666207,0.8124999999999746,0.48598130841078657
0,2,C,,-5,4,HumpbackWhale,0.576707717585574,0.8189385037211124,0.65217391304345,0.32608695652173203,0.4347826086951952
0,2,C,,-5,5,KillerWhale,0.7785287429018493,0.9454277286135693,0.7931034482758348,0.5476190476190346,0.6478873239431605
0,2,C,,-5,6,NorthernRightWhale,0.3155056917470834,0.6896959277962823,0.3684210526315692,0.341463414634138,0.3544303797463272
0,2,M,,-5,0,BottlenoseDolphin,0.33275087238209256,0.7966069018700598,0.39130434782607,0.4285714285714082,0.40909090909039153
0,2,M,,-5,1,BowheadWhale,0.5540841152849274,0.7992764857881137,0.4727272727272641,0.6046511627906835,0.5306122448974558
0,2,M,,-5,2,ClymeneDolphin,0.4688939294559969,0.7515245478036175,0.5135135135134996,0.44186046511626875,0.47499999999949094
0,2,M,,-5,3,Frasherdolphin,0.6591939413832338,0.9241260593220338,0.5531914893616904,0.8124999999999746,0.6582278481007672
0,2,M,,-5,4,HumpbackWhale,0.3918815334026573,0.6973168820994907,0.49999999999998335,0.32608695652173203,0.3947368421047749
0,2,M,,-5,5,KillerWhale,0.7201588035029377,0.9090813316477032,0.7142857142856939,0.595238095238081,0.6493506493501365
0,2,M,,-5,6,NorthernRightWhale,0.4149829437146828,0.6758353927151606,0.3658536585365764,0.3658536585365764,0.36585365853607643
0,2,S,5.0,-5,0,BottlenoseDolphin,0.5258136591305188,0.891652207441681,0.4999999999999643,0.3333333333333175,0.3999999999994972
0,2,S,5.0,-5,1,BowheadWhale,0.5890188691507031,0.7910077519379846,0.5555555555555431,0.5813953488371958,0.5681818181813054
0,2,S,5.0,-5,2,ClymeneDolphin,0.5407408773605695,0.765374677002584,0.39285714285713585,0.5116279069767322,0.44444444444394404
0,2,S,5.0,-5,3,Frasherdolphin,0.6256458791211069,0.9373675847457628,0.49122807017542996,0.8749999999999726,0.6292134831455927
0,2,S,5.0,-5,4,HumpbackWhale,0.3212535156670791,0.6167254210732471,0.5454545454545207,0.26086956521738563,0.3529411764701401
0,2,S,5.0,-5,5,KillerWhale,0.8037754712356211,0.9499578592498946,0.7999999999999734,0.5714285714285579,0.666666666666162
0,2,S,5.0,-5,6,NorthernRightWhale,0.30664600180147805,0.6739013645643065,0.34090909090908317,0.3658536585365764,0.35294117647008055
1,2,C,,-5,0,BottlenoseDolphin,0.511533322606799,0.8554077501445922,0.2777777777777726,0.7142857142856803,0.39999999999958613
1,2,C,,-5,1,BowheadWhale,0.4688297886449715,0.7870801033591731,0.59999999999994,0.13953488372092698,0.22641509433930795
1,2,C,,-5,2,ClymeneDolphin,0.6482283529446324,0.8851679586563308,0.7777777777777346,0.3255813953488296,0.4590163934421919
1,2,C,,-5,3,Frasherdolphin,0.40990582827204586,0.854740466101695,0.2338709677419336,0.9062499999999716,0.37179487179454085
1,2,C,,-5,4,HumpbackWhale,0.6210985059611285,0.81707794751273,0.7333333333332844,0.23913043478260348,0.36065573770453535
1,2,C,,-5,5,KillerWhale,0.7911240827852535,0.9549093973872734,0.777777777777749,0.49999999999998807,0.608695652173419
1,2,C,,-5,6,NorthernRightWhale,0.34626505772963967,0.7187063500590953,0.34999999999998255,0.170731707317069,0.2295081967208632
1,2,M,,-5,0,BottlenoseDolphin,0.5374793928564451,0.8914594177752072,0.4102564102563997,0.7619047619047257,0.5333333333328605
1,2,M,,-5,1,BowheadWhale,0.475331443073751,0.8187080103359173,0.46938775510203123,0.5348837209302201,0.49999999999949113
1,2,M,,-5,2,ClymeneDolphin,0.6808787003134176,0.8539534883720931,0.7407407407407134,0.4651162790697566,0.5714285714280811
1,2,M,,-5,3,Frasherdolphin,0.6246533572107266,0.908501059322034,0.4999999999999891,0.7187499999999775,0.5897435897430906
1,2,M,,-5,4,HumpbackWhale,0.49729782418354024,0.7226792009400704,0.6538461538461288,0.3695652173912963,0.47222222222174765
1,2,M,,-5,5,KillerWhale,0.8479002812597717,0.966708807416772,0.8636363636363245,0.4523809523809416,0.5937499999995303
1,2,M,,-5,6,NorthernRightWhale,0.36885886926329703,0.6947458901901795,0.35593220338982445,0.512195121951207,0.4199999999995078
1,2,S,5.0,-5,0,BottlenoseDolphin,0.44425586357850955,0.8968575284364758,0.2727272727272686,0.8571428571428164,0.41379310344790016
1,2,S,5.0,-5,1,BowheadWhale,0.4455577251610493,0.8432041343669251,0.4199999999999916,0.4883720930232444,0.45161290322529957
1,2,S,5.0,-5,2,ClymeneDolphin,0.6624672480770093,0.8311111111111111,0.8888888888888395,0.3720930232558053,0.5245901639339929
1,2,S,5.0,-5,3,Frasherdolphin,0.7408795042721207,0.9132680084745763,0.49999999999998956,0.7499999999999766,0.5999999999995049
1,2,S,5.0,-5,4,HumpbackWhale,0.5995588240596983,0.7295338817077949,0.89999999999991,0.1956521739130392,0.32142857142826653
1,2,S,5.0,-5,5,KillerWhale,0.9031304603505852,0.9777707543194268,0.94117647058818,0.3809523809523719,0.5423728813555037
1,2,S,5.0,-5,6,NorthernRightWhale,0.34995685151477685,0.6626195336843236,0.30508474576270667,0.4390243902438917,0.35999999999950905
